"","affect","age","d_ri","d_sm","d_su","d_ue","gender_m","interest","lar","lat","math_conf","points","st_os","st_tm","stat_conf","stat_value","su_lp","su_sb","su_ti","su_um"
"1",3.5,53,3.75,3.75,3,3.25,FALSE,4,1.66666666666667,1,4.5,25,3.5,3.25,3.5,4,2.5,2.5,3.25,2.75
"2",3,55,2.5,3.25,3.25,3,TRUE,3,2,1.33333333333333,3,12,3.5,2,3.5,3.5,2.25,4.25,4.5,3
"3",4,49,4,3.75,4.25,2.75,FALSE,4,2,1,1,24,3.25,4,5,4.5,1.75,3,3,2
"4",3.5,53,3.75,3.25,4,3.5,TRUE,5,2.66666666666667,1.33333333333333,2,10,3,3.25,3.5,4.5,1.75,2.25,3.25,2.75
"5",3,49,3.5,4,3.75,3.5,TRUE,4,2,1.66666666666667,3.5,22,4,3.25,2.5,3.5,2,3.5,3,3
"6",3.5,38,5,4.75,4.5,4.5,FALSE,4,2.33333333333333,1.33333333333333,3.5,21,3.75,3.5,3,5,2,2.75,3.5,2.5
"7",3,50,4.25,4.25,4.75,3,TRUE,4.5,2.33333333333333,1,3.5,21,3,1.5,3.5,4,1.25,3.25,3.75,1.25
"8",4.5,37,3.25,3.75,3.5,2.75,FALSE,4,1.66666666666667,1,2,31,3.75,4.25,5,4.5,2.5,3.25,3.25,2.75
"9",3.5,37,4.25,4.75,4.25,4,TRUE,4,1.33333333333333,1,4.5,24,4,4.5,2,2,1.75,3.25,4,1.5
"10",3,42,4,4,4,4,FALSE,3,2,1.66666666666667,1.5,26,4,3,5,4,2.5,3.5,3.75,3
"11",3,37,3.5,3.5,3.25,3.75,TRUE,4.5,2,2,3.5,31,3.5,3.75,2,4,2,3.25,3.5,2.75
"12",2,34,3.5,4,4,4,FALSE,4,2.33333333333333,1,4.5,31,5,4.5,2.5,4,2,3.5,3.5,1.75
"13",3,34,4.25,4.5,4.5,4,FALSE,3.5,2,1.33333333333333,1,23,4,3.25,4.5,4,2.5,2,3.25,2.25
"14",3.5,34,4.25,2.75,4,3,FALSE,4.5,1.33333333333333,1,1.5,25,4,3,4.5,5,2.75,2.75,3,2.75
"15",2.5,35,4.5,4.25,2.5,3.75,TRUE,3,2,1,1,21,2.25,1.25,2,3,2,3,3.25,2
"16",4,46,3,3.25,3.5,3,FALSE,4,1,1,1,0,3.25,3,4.5,3.5,2,2.75,5,3.25
"17",2.5,33,3.25,3.75,3.5,4,FALSE,4,2.66666666666667,1.33333333333333,5,31,3.75,4,2.5,4,2.25,2.75,2.75,2
"18",4,32,4.75,3.5,4,4,FALSE,3,1.66666666666667,1,2.5,20,1.5,1.25,5,4,3.25,3.5,3.25,2
"19",3,44,3,4.25,3.25,3.25,FALSE,3.5,2,1.33333333333333,2,22,3.5,3,3.5,2.5,2.75,2.5,2.75,2.25
"20",3.5,29,4,4,4,4.25,TRUE,2,1.33333333333333,1,1.5,9,3.25,2.75,5,2.5,3.25,4,3.5,4
"21",4.5,30,4.25,4.25,4.5,3.5,FALSE,4,1.66666666666667,1,1.5,24,3.5,4,5,4,2.5,3.25,3.75,2.5
"22",2.5,27,4,4,3.75,3.75,TRUE,4,4,4,3.5,28,3,2.25,2,4,2.25,3.25,3.5,1.5
"23",2.5,29,4,4,4,4,TRUE,4,2.33333333333333,1.66666666666667,3,30,2.5,2.25,3,4,1.5,3,2.75,2.75
"24",3.5,31,4,4.75,4,3.25,FALSE,3.5,2,1,2,24,3.25,4,4.5,4,3.5,3.25,3.5,2.25
"25",4,37,4,4,3.75,3,FALSE,3.5,2,1.33333333333333,1.5,9,3,2.5,5,2.5,2.5,2.25,4.25,2.5
"26",4,26,3.5,4,3,3.5,FALSE,5,1.66666666666667,1.33333333333333,3.5,26,2.25,1.25,4,5,2.25,3.5,3,2.75
"27",2.5,26,4,5,3.75,4.25,FALSE,5,1.66666666666667,1,4.5,32,3.5,3,2.5,5,2.75,4.25,3.75,2.5
"28",3.5,30,4,4.25,4.75,3.5,TRUE,5,1.66666666666667,1.33333333333333,4,32,4.25,3.75,3.5,5,3.25,3.25,4,2.5
"29",3.5,37,4,4,3.5,3.5,FALSE,3,2.33333333333333,2,2,0,2,2.25,4.5,3.5,2.75,2.25,2.75,1.5
"30",3.5,33,3.75,3.75,3.75,3.75,FALSE,3.5,1.66666666666667,1,5,33,3.5,3.75,3.5,4.5,1.5,2.25,3.75,2.25
"31",3.5,33,3.25,3.25,2.5,3.25,FALSE,3,2,2,3,29,3.5,2.25,4.5,3,3.75,3,4.5,3.75
"32",4,28,3.25,3.75,4.25,3.75,TRUE,4,2.66666666666667,2.33333333333333,2,30,3.75,2.25,4,3,4,4.25,4.25,3
"33",3.5,26,5,4.75,5,5,TRUE,5,1,1,2.5,19,2,1.25,4,5,2.5,2,5,3
"34",3,27,4,3.5,4,3.25,FALSE,4,2,1,3,23,4.25,2.25,3.5,3,2,2.25,4,2
"35",3,25,3.5,2.75,3,2.5,FALSE,2,2,2.33333333333333,1,19,3.25,3.75,4.5,3.5,2.5,2.5,3,2.25
"36",3,31,3.5,3.75,4.25,3.75,FALSE,3,2.66666666666667,1.66666666666667,1,12,3,3,4.5,4.5,2,3.25,3.25,2.5
"37",2.5,20,4.5,4.5,4.25,4.5,TRUE,5,4,4.66666666666667,4,10,3.5,3,2,4.5,1.5,1.75,2.75,1.5
"38",3,39,4.5,4,2.25,3.75,FALSE,2.5,4.33333333333333,4.66666666666667,1,11,2,1.75,5,2.5,3,2.5,3.25,3
"39",4,38,3.75,4,4,3.75,TRUE,4,2,1,2,20,4.25,4.5,4,4,2,1.75,3,1.75
"40",2.5,24,4,3,3.5,2.75,TRUE,4.5,2.33333333333333,2.66666666666667,3.5,26,3,4.25,3.5,5,3.25,1.5,2.5,2.5
"41",2,26,2.75,2.75,3,1.5,TRUE,4.5,3,2.66666666666667,4,31,3,2,2.5,3.5,3.75,3.75,3.25,2.25
"42",3,25,3.75,2.5,3.75,3.75,TRUE,4,2,1.33333333333333,2,20,1.25,1.25,3.5,5,4,4,3.5,2.25
"43",3,30,3.5,4.75,3.75,4,FALSE,1.5,2.33333333333333,1.66666666666667,1,23,4,4,5,3.5,4,2.5,3.25,3.75
"44",3.5,25,3.25,2.5,3.75,3,FALSE,3,2,1.66666666666667,1,12,3.5,2.5,4.5,4.5,2.5,4,4,3
"45",3,30,3.75,3,3.5,3.25,TRUE,4,4.33333333333333,5,2.5,24,2.5,2.5,3.5,4,3.5,4.25,4,2.75
"46",3,48,3.5,4.75,4,3.25,FALSE,5,1.33333333333333,1,2,17,5,4.75,3.5,5,2.25,2.5,4,3.25
"47",4,24,4,3.75,4.25,3.25,FALSE,4.5,1.66666666666667,1.33333333333333,1.5,29,5,5,4.5,4.5,2.75,1.75,3,2.75
"48",4,40,5,4.5,4.25,4.5,FALSE,5,2,1,4,23,4,4.75,3.5,5,3,3.75,3.25,4
"49",3.5,25,4.75,3,4.75,3.5,TRUE,4,1.33333333333333,1,2.5,28,3.25,3.25,5,5,2,1.5,3.75,2.75
"50",4,23,2.75,3.75,3.5,3.75,FALSE,5,1.33333333333333,1,3.5,31,4.5,3.5,4,5,4,3.25,4.75,4
"51",1,25,4.5,3.75,4,4.25,FALSE,1,2.33333333333333,1,3,23,3.5,2.75,3,1.5,2.5,3.5,3,2.75
"52",2.5,23,2.5,3,2.75,3.25,FALSE,2,2.66666666666667,1.33333333333333,2.5,25,3,2,4.5,3.5,2.25,4,5,2.5
"53",3.5,27,4.5,4.25,4.25,3.75,TRUE,3,1.33333333333333,1,2,18,3,3.25,5,5,2.25,2.5,4,2.5
"54",3,25,3.5,3.5,3.75,3.75,TRUE,4,2.33333333333333,2,3.5,19,4,2.5,4,4,3.25,3.25,2.25,2.5
"55",1.5,23,3,3,3,2.5,TRUE,2,2,1.33333333333333,4.5,22,2.75,1.5,2,3,2.25,4.25,2.75,3.75
"56",3,23,4,4.25,4.25,3.75,FALSE,3.5,2,1.33333333333333,3,25,4,1.5,5,4.5,3,3.25,4.5,2.5
"57",3.5,23,3,3.25,3.75,2.5,FALSE,2.5,2,2,2.5,21,2.75,2,4.5,2.5,3.5,4,3.25,2.25
"58",3.5,45,4.25,3,4.25,1.75,FALSE,5,2,1,3,9,4,2.25,4,5,4,2.75,3.5,3
"59",3,22,4,4.25,4.25,4,FALSE,2,2,1,3.5,28,4,4,4.5,4,1.75,3.25,2.75,2
"60",1.5,23,2.75,3.25,3.5,2.75,FALSE,2.5,1.33333333333333,1,5,25,4,4,2.5,3.5,2.25,4.25,5,3.25
"61",3,21,4,3,4.25,3.5,TRUE,5,3,2,5,29,2.75,1.75,1.5,5,2,3.5,3.25,2
"62",3,21,4.75,4,3,4.25,TRUE,4,1.66666666666667,1,5,33,3.5,3,2.5,3.5,1.75,2.25,2.5,1.25
"63",3,21,4.5,4,4.25,4.25,FALSE,4,2.66666666666667,1.66666666666667,4,33,3.75,3.5,2,4,1.75,3.25,3.75,1.75
"64",3,21,4.25,3.5,3.75,2.5,FALSE,5,1.66666666666667,1,4,25,4.5,2.75,1.5,5,1.75,3,2.5,1.5
"65",3,26,2.5,4.25,4.25,2.5,FALSE,2,1.33333333333333,1.33333333333333,3,18,3.5,1.5,4.5,3,3.25,3.5,4,1.75
"66",4,25,4.5,4.5,4.5,4.75,FALSE,4.5,1.33333333333333,1.33333333333333,1.5,22,2.25,1.5,4.5,5,2,3,2.75,3.5
"67",2,26,4.25,3,4,3,FALSE,3,2.33333333333333,1.66666666666667,2,17,2.25,1.75,3.5,4,2.25,2.5,3,2.5
"68",2,21,3.5,3.75,3.75,3,TRUE,4,2.33333333333333,1.66666666666667,4.5,25,2.5,1.25,1,4,2.25,3,3.5,1.5
"69",4.5,22,3.5,3.5,4.5,3.5,FALSE,5,5,5,2,0,3.25,2,4.5,5,2.5,3,4.75,1.5
"70",3.5,23,3.25,3.75,4.25,3.25,FALSE,5,2,1.33333333333333,3,28,4,4,4,4,1.75,3,2.5,3.75
"71",2.5,22,3.5,4,3.75,3.25,FALSE,2.5,2,1.66666666666667,1.5,22,3.25,2.5,4,4,1.75,2.5,3.25,2.5
"72",1.5,22,2,1.25,2.75,1.5,FALSE,1,1.33333333333333,1.33333333333333,1.5,26,3.5,4.25,1,1,1.5,2,1.5,2
"73",3,22,3.75,3.5,1.75,2.75,FALSE,2.5,1.33333333333333,1,1,11,3,2,5,1.5,2.75,3.75,2.5,2.25
"74",3.5,23,4.5,4.5,3.75,4,FALSE,2,1.66666666666667,1.33333333333333,1.5,29,3.5,2,5,3,3.75,2.25,2.5,2.75
"75",2,22,4.75,4,4.5,4.5,TRUE,4,1.33333333333333,1.33333333333333,2.5,22,4.5,4.5,2,4.5,1.5,2.5,3,2.25
"76",2.5,25,4.75,4.75,4,4.25,TRUE,5,4,5,3,0,3.75,3.25,2.5,5,2.75,2.5,4.25,2.75
"77",2,23,5,4.75,4,4.75,TRUE,3,1.66666666666667,1,3.5,21,3.75,3,2,4,1.75,3,2.25,2.25
"78",3.5,24,2,3.75,4,3.5,TRUE,3.5,2,1,2,28,2.5,2.75,4,3,2.25,2.75,3,2.25
"79",3,22,2.25,4,3.75,2.75,FALSE,4,2.66666666666667,1.33333333333333,4,33,4,4.25,2,4.5,4.25,1.75,3,2.25
"80",3,23,4,4,3.5,4.25,FALSE,4,1.33333333333333,1,1,16,2.75,2.5,5,5,3,3.75,4.5,3
"81",2,22,4.75,4,4.5,3.5,TRUE,2,2.66666666666667,1.33333333333333,2.5,31,2.25,2.25,3,3.5,2,2.25,2.75,1
"82",2,20,3.5,4,3.5,3.75,TRUE,3,3.66666666666667,4.66666666666667,4,22,2.5,3,1.5,4.5,2.25,3.25,4.5,2.25
"83",2.5,22,2.75,4,3.25,2.5,TRUE,3,2.66666666666667,2.33333333333333,4,31,3.5,2.5,3.5,3.5,4.25,3.25,4,2.5
"84",3,21,5,4.5,4.75,4.75,TRUE,5,2,1,3.5,23,2.25,1,4,4,2.5,3,2.75,3
"85",4,22,4.25,4.5,4.75,4,FALSE,4.5,2.66666666666667,1,3,26,2,1.75,3.5,4.5,2.75,2.75,2.5,2
"86",2,23,4.25,4.25,3.75,4,FALSE,2.5,2,1,3,12,3.75,3,3,2.5,2,2.5,3.5,2.75
"87",3,21,5,4.5,4.25,3.75,TRUE,5,1.66666666666667,1,5,26,4.25,3.25,2.5,5,2.5,3,3.25,1.75
"88",3.5,22,3,4,3.75,4.5,TRUE,5,2.33333333333333,1.66666666666667,5,31,2.5,1.75,2,4,3.75,2.5,2.25,1.5
"89",1.5,29,3,4.25,3.5,2.75,TRUE,2,2,1.33333333333333,4,19,3,1.75,2,4,3.75,3.25,3.75,2
"90",3,26,3.25,3.5,4,3.5,FALSE,3,1.33333333333333,1,1,0,2.25,1.25,5,4,2.5,3,4.5,1.5
"91",4,29,3.25,4,3.75,2.25,FALSE,5,2,1.66666666666667,4,30,3,2.5,4,4.5,1.5,2.25,3.75,2.25
"92",3.5,21,3.5,3.5,2.5,2.5,FALSE,4,1.66666666666667,1.33333333333333,1.5,12,4,2.25,5,4,2.75,3.25,4.75,4.25
"93",2,28,3.75,3.5,3.25,4.25,TRUE,4,4.33333333333333,4.33333333333333,2,17,3.25,3.75,2.5,4,2.5,3,3.5,3
"94",4.5,23,3.75,4.5,4,4.25,TRUE,4.5,2,1.33333333333333,3,0,1.5,1.75,4.5,5,4,3,3,3.25
"95",2,21,4,4.5,4.25,4.25,FALSE,4.5,3.66666666666667,4.66666666666667,2,18,3.25,2,3,4.5,2.25,2.75,4,1.75
"96",4,30,4,4,3.75,3.5,FALSE,3,2,1.33333333333333,3.5,19,3.5,3.25,4.5,4,2.25,3.25,4.25,2.75
"97",4,21,3.5,4.75,4.75,2.75,FALSE,4,1.66666666666667,1.33333333333333,3,21,3,1.5,5,4.5,3.75,4,3.75,4
"98",3.5,23,3.75,3.75,4,4,TRUE,3.5,1.66666666666667,1,4,24,3,3,4,3.5,2.5,2,3,2.5
"99",3.5,21,3.75,4,3.25,3.75,FALSE,4,4.33333333333333,5,4,28,4.25,3.75,4.5,4,2,3.25,4,3
"100",2.5,21,4.5,3.5,3,3.5,FALSE,3.5,3.66666666666667,4.33333333333333,3.5,17,4,3,3,4.5,2.5,2.5,3.5,3.25
"101",3.5,20,3.5,3.5,3.25,4,FALSE,4.5,1.66666666666667,1,2.5,18,2.75,2.5,3.5,5,2.75,3,3.25,3
"102",2.5,21,3.5,5,3.75,4,TRUE,5,2,1.33333333333333,4,0,3.5,2.25,1.5,4.5,2.5,3.25,3.25,2.25
"103",2,22,4.5,4.25,3.75,4.25,TRUE,4,1,1,4.5,17,3,2,2.5,4,2,2.25,3.5,2
"104",4,35,4.75,4.5,4.75,4,FALSE,4,4,5,1.5,0,3.75,2.75,5,4.5,2.75,4,5,4
"105",5,21,4,3.75,3.5,3.5,TRUE,5,4.33333333333333,3.66666666666667,5,23,3.75,3.75,5,5,3.25,3.75,3.75,4
"106",2,22,3.25,2.75,4,2,TRUE,1.5,3,2,3,0,2.75,1.25,3.5,2.5,3.75,3.75,3.5,2.75
"107",3.5,21,4.25,4.5,4.5,3.75,TRUE,3,1.66666666666667,1,4,26,4,3.25,4,4,3.5,3,3.75,2
"108",3,20,3.5,5,1.75,3.5,FALSE,5,1.33333333333333,1,5,28,4,4.25,1,5,4.25,3.25,1,2.75
"109",2.5,22,3.5,4.25,4,4.25,TRUE,5,1.66666666666667,1,5,31,4.5,4.25,1.5,5,1.25,2.25,3,1.25
"110",3.5,20,4.25,5,4,4.5,FALSE,4,2,1.33333333333333,4.5,27,2.5,2.75,4,4,3.5,2.25,3.25,3
"111",4,20,3.5,4.25,4.25,3.25,FALSE,5,1.66666666666667,1,3.5,25,4.5,3.5,5,5,2.75,3.75,3.75,2.5
"112",3.5,24,4.5,3.5,3,3,TRUE,3,3.33333333333333,3.33333333333333,3,23,3.25,2.25,4,4,3.5,2.25,4.25,3
"113",3.5,20,4,4.25,4,3.25,FALSE,4,1,1,4.5,21,3.25,2.25,4,4.5,3.25,2.5,3.75,2.25
"114",3.5,19,2.25,2.75,3.5,2.75,FALSE,4.5,3,2,3.5,27,1.5,1.25,2,3.5,3.25,3.75,3,2
"115",3,21,3.5,4,4.25,3,FALSE,3.5,2,1.33333333333333,4.5,28,2.5,2,3.5,4.5,2.5,3.25,3,2.5
"116",1,21,2.75,3.75,4,2.75,FALSE,2.5,1.66666666666667,1,5,23,3.75,3.5,2.5,3,3.75,3.25,4.75,2.25
"117",2.5,22,4.5,4,4,4.25,FALSE,3,1.33333333333333,1,3,21,4,3.5,4.5,4,2,3,3.5,2.5
"118",3,25,1.75,4.75,3.75,3,FALSE,1,2.33333333333333,2,2.5,25,4.25,3.75,5,4,2.25,2.75,4,2
"119",3.5,21,3.5,3,4,2.75,FALSE,3,1.66666666666667,1.33333333333333,2,11,3.25,3,4.5,4.5,2.25,3.25,3,3.5
"120",3.5,22,4.25,4.25,3.75,4,FALSE,4,1.66666666666667,1.33333333333333,3,19,3,3.5,4,4,3,3.25,3.75,2.75
"121",4.5,25,1.75,3,2.75,2,FALSE,5,1.66666666666667,2,2.5,24,3,1.25,5,4.5,4.25,3.75,5,4
"122",3,20,3.25,3.75,3.25,3,FALSE,4,2.33333333333333,1,4,28,3.5,2.25,2.5,4,3.5,3.25,3.5,3
"123",3.5,24,3,3,2.25,3.25,TRUE,4,2.33333333333333,1.33333333333333,2.5,21,1.5,1.5,3.5,4,4.25,3,2.25,3.25
